16,1,D,1BMR D1,Digital 1 ,Business ,Bell Mobility Radio 
32,2,D,1BMR D2,Digital 2 ,Business ,Bell Mobility Radio 
48,3,D,1BMR D3,Digital 3 ,Business ,Bell Mobility Radio 
64,4,D,1BMR D4,Digital 4 ,Business ,Bell Mobility Radio 
80,5,D,1BMR D5,Digital 5 ,Business ,Bell Mobility Radio 
96,6,D,1BMR D6,Digital 6 ,Business ,Bell Mobility Radio 
112,7,D,1BMR D7,Digital 7 ,Business ,Bell Mobility Radio 
128,8,D,1BMR D8,Digital 8 ,Business ,Bell Mobility Radio 
144,9,D,1BMR D9,Digital 9 ,Business ,Bell Mobility Radio 
160,00a,A,1BMR A1,Analog 1 ,Business ,Bell Mobility Radio 
176,00b,A,1BMR A2,Analog 2 ,Business ,Bell Mobility Radio 
192,00c,A,1BMR A3,Analog 3 ,Business ,Bell Mobility Radio 
208,00d,A,1BMR A4,Analog 4 ,Business ,Bell Mobility Radio 
224,00e,A,1BMR A5,Analog 5 ,Business ,Bell Mobility Radio 
240,00f,A,1BMR A6,Analog 6 ,Business ,Bell Mobility Radio 
256,10,A,1BMR A7,Analog 7 ,Business ,Bell Mobility Radio 
272,11,A,1BMR A8,Analog 8 ,Business ,Bell Mobility Radio 
1712,06b,DE,CISO 1SURV1,Surveillance 1 ,Law Talk ,Criminal Intelligence Service Ontario 
1728,06c,DE,CISO 1SURV2,Surveillance 2 ,Law Talk ,Criminal Intelligence Service Ontario 
1744,06d,DE,CISO 1SURV3,Surveillance 3 ,Law Talk ,Criminal Intelligence Service Ontario 
1760,06e,DE,CISO 1SURV4,Surveillance 4 ,Law Talk ,Criminal Intelligence Service Ontario 
1776,06f,DE,CISO 1SURV5,Surveillance 5 ,Law Talk ,Criminal Intelligence Service Ontario 
1792,70,DE,CISO Windsr,Windsor ,Law Talk ,Criminal Intelligence Service Ontario 
1808,71,DE,CISO Chatham,Chatham ,Law Talk ,Criminal Intelligence Service Ontario 
1824,72,DE,CISO Sarnia,Sarnia ,Law Talk ,Criminal Intelligence Service Ontario 
1840,73,DE,CISO London,London ,Law Talk ,Criminal Intelligence Service Ontario 
1872,75,DE,CISO Stratford,Stratford ,Law Talk ,Criminal Intelligence Service Ontario 
1888,76,DE,CISO Waterloo,Waterloo ,Law Talk ,Criminal Intelligence Service Ontario 
1904,77,DE,CISO Brantford,Brantford ,Law Talk ,Criminal Intelligence Service Ontario 
1920,78,DE,CISO Hamilton,Hamilton ,Law Talk ,Criminal Intelligence Service Ontario 
1936,79,DE,CISO Niagara,Niagara ,Law Talk ,Criminal Intelligence Service Ontario 
1952,07a,DE,CISO Halton,Halton ,Law Talk ,Criminal Intelligence Service Ontario 
1968,07b,DE,CISO Peel,Peel ,Law Talk ,Criminal Intelligence Service Ontario 
1984,07c,DE,CISO Toronto,Toronto ,Law Talk ,Criminal Intelligence Service Ontario 
2000,07d,DE,CISO York,York ,Law Talk ,Criminal Intelligence Service Ontario 
2016,07e,DE,CISO Durham,Durham ,Law Talk ,Criminal Intelligence Service Ontario 
2032,07f,DE,CISO Owen Sound,Owen Sound ,Law Talk ,Criminal Intelligence Service Ontario 
2048,80,DE,CISO Barrie,Barrie ,Law Talk ,Criminal Intelligence Service Ontario 
2064,81,DE,MNR 1SPR1,Spare 1 ,Law Talk ,Criminal Intelligence Service Ontario 
2080,82,DE,MNR 1SPR2,Spare 2 ,Law Talk ,Criminal Intelligence Service Ontario 
2736,0ab,DE,MNR 1ESSU 01,Evaluation and Special Services Unit ,Law Talk ,MNR - Conservation Officers 
2752,0ac,DE,MNR 1ESSU 02,Evaluation and Special Services Unit ,Law Talk ,MNR - Conservation Officers 
2768,0ad,D,MNR 1NR OPS01,Ops 1 Owen Sound - Sault Ste. Marie Dispatch ,Law Dispatch ,MNR - Conservation Officers 
2784,0ae,D,MNR 1NR OPS02,Ops 2 Southwest Ontario - Sault Ste. Marie Dispatch ,Law Dispatch ,MNR - Conservation Officers 
2800,0af,D,MNR 1NR OPS03,Ops 3 Midhurst/Aurora - Sault Ste. Marie Dispatch ,Law Dispatch ,MNR - Conservation Officers 
2816,0b0,D,MNR 1NR TAC01,Tactical 1 ,Law Tac ,MNR - Conservation Officers 
2832,0b1,D,MNR 1NR TAC02,Tactical 2 ,Law Tac ,MNR - Conservation Officers 
2848,0b2,D,MNR 1NR TAC03,Tactical 3 ,Law Tac ,MNR - Conservation Officers 
2864,0b3,D,MNR 1NR TAC04,Tactical 4 ,Law Tac ,MNR - Conservation Officers 
2880,0b4,D,MNR 1NR TAC05,Tactical 5 ,Law Tac ,MNR - Conservation Officers 
2896,0b5,D,MNR 1NR TAC06,Tactical 6 ,Law Tac ,MNR - Conservation Officers 
2912,0b6,D,MNR NR CO1,Conservation Officers ,Law Tac ,MNR - Conservation Officers 
2928,0b7,D,MNR NR CO2,Conservation Officers ,Law Tac ,MNR - Conservation Officers 
2944,0b8,D,MNR 1AYLMER ENF,Aylmer Wide Area ,Law Tac ,MNR - Conservation Officers 
2960,0b9,D,MNR 1GUELPH ENF,Guelph Wide Area ,Law Tac ,MNR - Conservation Officers 
2976,0ba,D,MNR 1LONDON ENF,London Wide Area ,Law Talk ,MNR - Conservation Officers 
2992,0bb,D,MNR 1AURORA ENF,Aurora Wide Area ,Law Talk ,MNR - Conservation Officers 
3008,0bc,D,MNR 1LKHURON ENF,Lake Huron Wide Area ,Law Talk ,MNR - Conservation Officers 
3024,0bd,D,MNR 1LK ERIE ENF,Lake Erie Wide Area ,Law Talk ,MNR - Conservation Officers 
3040,0be,D,MNR 1MIDHURSTENF,Midhurst Wide Area ,Law Talk ,MNR - Conservation Officers 
3072,0c0,D,MNR 1EMERG DISP,Emergency Dispatch ,Law Talk ,MNR - Conservation Officers 
3632,0e3,D,MTO ENF 3632,Enforcement ,Law Talk ,MTO Enforcement 
3648,0e4,D,MTO ENF 3648,Enforcement ,Law Talk ,MTO Enforcement 
3712,0e8,D,MTO ENF Essex,Essex ,Law Talk ,MTO Enforcement 
3744,0ea,D,MTO ENF 3744,Enforcement ,Law Talk ,MTO Enforcement 
3760,0eb,D,MTO ENF SW,Enforcement Administration - Southwest ,Law Talk ,MTO Enforcement 
3776,0ec,D,MTO WINDSOR OP,Windsor Operations ,Law Dispatch ,MTO Enforcement 
3792,0ed,D,MTO WINDSOR TAC,Windsor Tactical ,Law Tac ,MTO Enforcement 
3808,0ee,D,MTO KITCHENER OP,Kitchener Operations ,Law Dispatch ,MTO Enforcement 
3824,0ef,D,MTO KITCHENER TC,Kitchener Tactical ,Law Tac ,MTO Enforcement 
3840,0f0,D,MTO LONDON OPS,London Operations ,Law Dispatch ,MTO Enforcement 
3856,0f1,D,MTO LONDON TAC,London Tactical ,Law Tac ,MTO Enforcement 
3872,0f2,D,MTO ENF SW SP,Enforcement Spare - Southwest  ,Law Talk ,MTO Enforcement 
